Content,Style,SSIM,MSE,PSNR,Structure Preservation,Structure Preserved
modern_living_room,rustic,0.9535929869079188,95.70154571533203,28.321614810825288,0.9535929869079188,True
modern_living_room,minimalist,0.9797957762114317,28.54499626159668,33.57550161457467,0.9797957762114317,True
modern_living_room,art_deco,0.9594519174583019,49.21848678588867,31.209521567814317,0.9594519174583019,True
modern_living_room,scandinavian,0.9603486351950881,100.9297103881836,28.09061302585928,0.9603486351950881,True
modern_living_room,industrial,0.8913814056264118,135.7613525390625,26.803039960865913,0.8913814056264118,True
rustic_bedroom,rustic,0.9176293379476901,193.75233459472656,25.258334150271953,0.9176293379476901,True
rustic_bedroom,minimalist,0.9841938782052846,40.1063232421875,32.098674992588585,0.9841938782052846,True
rustic_bedroom,art_deco,0.9777020384485067,39.38359451293945,32.177650515004444,0.9777020384485067,True
rustic_bedroom,scandinavian,0.90426773609351,210.389892578125,24.900555560980905,0.90426773609351,True
rustic_bedroom,industrial,0.7516826679731291,393.2279052734375,22.184360313158514,0.7516826679731291,False
minimalist_kitchen,rustic,0.8759447239249399,470.8952941894531,21.401558485213336,0.8759447239249399,True
minimalist_kitchen,minimalist,0.9530807767381129,123.72164916992188,27.206345306581994,0.9530807767381129,True
minimalist_kitchen,art_deco,0.9573446569089437,78.56896209716797,29.178291435301954,0.9573446569089437,True
minimalist_kitchen,scandinavian,0.8712681374474215,343.6297607421875,22.769896746651355,0.8712681374474215,True
minimalist_kitchen,industrial,0.6950322978911485,767.6494140625,19.27917380295574,0.6950322978911485,False
art_deco_living,rustic,0.819300762475541,287.4765930175781,23.54478007227034,0.819300762475541,True
art_deco_living,minimalist,0.9504722439148204,77.13711547851562,29.258169765027837,0.9504722439148204,True
art_deco_living,art_deco,0.9394059874011532,67.54904174804688,29.834611779395566,0.9394059874011532,True
art_deco_living,scandinavian,0.7965182278239454,367.43634033203125,22.478982874768192,0.7965182278239454,False
art_deco_living,industrial,0.5959668886135315,539.7755737304688,20.80867150814668,0.5959668886135315,False
